date,daily_ride_count,avg_ride_length_min
2024-06-29,3,1499.7665833333333
2024-06-30,234,483.388353988604
2024-07-01,21555,18.747473120698988
2024-07-02,23031,17.405056140998365
2024-07-03,25046,18.489789804759244
2024-07-04,23612,25.173393516008808
2024-07-05,26092,23.21904014640503
2024-07-06,29930,25.97573903552734
2024-07-07,17427,21.20340953309998
2024-07-08,20410,17.443219154826064
2024-07-09,14996,14.36764325709078
2024-07-10,21629,16.2504329179959
2024-07-11,23939,17.362727329880112
2024-07-12,26280,19.04690977866565
2024-07-13,30331,22.66817464475289
2024-07-14,19436,20.82220575735748
2024-07-15,20482,17.12644547732969
2024-07-16,23343,16.93528702394722
2024-07-17,25830,17.130112215124534
2024-07-18,25029,17.152550751794585
2024-07-19,27510,19.300210329577123
2024-07-20,31810,24.047705399245523
2024-07-21,26618,23.607382020938214
2024-07-22,23124,18.720267762209534
2024-07-23,22082,17.129590314132173
2024-07-24,24370,16.56878460675694
2024-07-25,26006,17.30159359570868
2024-07-26,27156,19.975953233171307
2024-07-27,31613,23.593554048439987
2024-07-28,19886,22.224012633678637
2024-07-29,18006,15.887238042874598
2024-07-30,24755,17.620296313875983
2024-07-31,27670,22.83490777496687
2024-08-01,24112,16.692822877267197
2024-08-02,26811,18.620760164982034
2024-08-03,31647,22.52366014840796
2024-08-04,26261,22.729194642245155
2024-08-05,19953,17.40659204046175
2024-08-06,20153,15.485929836748872
2024-08-07,25698,17.474778806392194
2024-08-08,24733,18.00179381932371
2024-08-09,26477,18.410108175649306
2024-08-10,32320,22.861999021245875
2024-08-11,28616,25.190061541328863
2024-08-12,21532,18.090980489503995
2024-08-13,24587,17.191555594419818
2024-08-14,25386,17.364104063263216
2024-08-15,15469,13.577544595642898
2024-08-16,22791,18.257213913386863
2024-08-17,20800,20.661138072916668
2024-08-18,22486,20.43963120015417
2024-08-19,21156,16.654828691624125
2024-08-20,22903,16.30158587812368
2024-08-21,23964,15.794298939381294
2024-08-22,23695,16.13071287050714
2024-08-23,25522,18.0564789612883
2024-08-24,30347,20.339487470480332
2024-08-25,24863,21.44083823754173
2024-08-26,20972,15.440867497139042
2024-08-27,19476,14.076880195283085
2024-08-28,23736,14.838944542748006
2024-08-29,25492,16.324186064909252
2024-08-30,23454,17.427442482447912
2024-08-31,30392,23.703914648591734
2024-09-01,31869,23.355180054284727
2024-09-02,28373,22.885452524700714
2024-09-03,27409,15.059225949505636
2024-09-04,28952,14.061818239384728
2024-09-05,26966,13.497421770006676
2024-09-06,26166,14.65237462292033
2024-09-07,27899,17.99906931610452
2024-09-08,26004,19.4681140504025
2024-09-09,25520,14.615579901384535
2024-09-10,29158,14.011351977158927
2024-09-11,30558,14.379176431703645
2024-09-12,30564,14.503974138965232
2024-09-13,29642,15.481629583024088
2024-09-14,33705,19.794125214359887
2024-09-15,29682,19.731549568762212
2024-09-16,26608,14.627412440494087
2024-09-17,29747,14.58067383937876
2024-09-18,29853,13.68633054522717
2024-09-19,30671,14.11373401367198
2024-09-20,30814,15.750057756214709
2024-09-21,34698,19.268924167579303
2024-09-22,10525,15.344119521773555
2024-09-23,23182,13.5154055581917
2024-09-24,14769,11.782911964249442
2024-09-25,29267,13.57450541280851
2024-09-26,30176,13.851083727134148
2024-09-27,26204,14.560985681575332
2024-09-28,23026,16.012581329077275
2024-09-29,23499,20.360269219257557
2024-09-30,25361,13.209969809944402
2024-10-01,22239,13.44079048743199
2024-10-02,22349,13.6427799334795
2024-10-03,22573,14.137809543111977
2024-10-04,21058,15.061975140880742
2024-10-05,25814,19.522115104207018
2024-10-06,22301,21.970827258867313
2024-10-07,19328,13.737778411285872
2024-10-08,21311,14.051695576619274
2024-10-09,21376,13.423663380270709
2024-10-10,23277,14.497360825421374
2024-10-11,25902,17.694205001544283
2024-10-12,24482,20.174736551343845
2024-10-13,25602,24.925235881962347
2024-10-14,15646,15.050305287826495
2024-10-15,8375,11.159270734328357
2024-10-16,17000,12.936877124509802
2024-10-17,18874,14.24126737398891
2024-10-18,19631,15.025892257144314
2024-10-19,22492,21.057824175262315
2024-10-20,18750,19.271939580444446
2024-10-21,19196,15.922725625130235
2024-10-22,19011,13.997631070608245
2024-10-23,19291,13.473113463964197
2024-10-24,19531,13.973980792074137
2024-10-25,17858,14.962985168178593
2024-10-26,17068,17.638946494414498
2024-10-27,14380,16.677524900324524
2024-10-28,15864,13.172105459951252
2024-10-29,20505,14.109009778102903
2024-10-30,20576,13.818915314768015
2024-10-31,14632,11.910288877118644
2024-11-01,15162,12.81504309787627
2024-11-02,15325,16.551301417074495
2024-11-03,11215,14.20894057660871
2024-11-04,13268,11.722717834890966
2024-11-05,10621,10.683091507391017
2024-11-06,15668,11.826099164964683
2024-11-07,16627,12.559323256350112
2024-11-08,16121,14.016537256787213
2024-11-09,11607,14.926443904540362
2024-11-10,12744,15.768298254080351
2024-11-11,14200,12.51818891314554
2024-11-12,14220,11.551201300984529
2024-11-13,11862,11.657048527510819
2024-11-14,13244,12.16056796033424
2024-11-15,14183,13.653334309854522
2024-11-16,13137,16.712999075131307
2024-11-17,12636,18.640363001213466
2024-11-18,9126,12.301197092556066
2024-11-19,15439,11.87838133946499
2024-11-20,10951,11.138350557026756
2024-11-21,5422,11.87647017398254
2024-11-22,10864,12.870420575601374
2024-11-23,9425,15.695004751547305
2024-11-24,8567,15.69242388233921
2024-11-25,9632,12.138710729858804
2024-11-26,7976,12.068856227014377
2024-11-27,7271,13.69931794113602
2024-11-28,2741,13.014698382585433
2024-11-29,2617,12.739783110431793
2024-11-30,3128,14.420342124893436
2024-12-01,3293,12.043893840469682
2024-12-02,6392,9.856135666979558
2024-12-03,7641,10.273706233913538
2024-12-04,7795,10.388799974342527
2024-12-05,7053,10.507358681884776
2024-12-06,6976,10.960774471999237
2024-12-07,7600,12.852646041666667
2024-12-08,8720,15.140636026376146
2024-12-09,9900,12.647678313131314
2024-12-10,8987,10.361668382107489
2024-12-11,7351,9.813077998458258
2024-12-12,4785,12.264271403692094
2024-12-13,5971,12.619362739351308
2024-12-14,4644,12.072646403962102
2024-12-15,5119,15.116583382170997
2024-12-16,7593,12.649624406251371
2024-12-17,8492,10.796202376746741
2024-12-18,7553,11.0954194050929
2024-12-19,6388,10.278061500730535
2024-12-20,4827,11.053602869276983
2024-12-21,3593,11.322066439372854
2024-12-22,3506,17.262567645940294
2024-12-23,4527,11.655575104926
2024-12-24,3298,14.22764890842935
2024-12-25,1686,19.443453687228153
2024-12-26,4045,15.258056159868149
2024-12-27,3513,12.673222435714964
2024-12-28,5732,16.805274479530123
2024-12-29,1903,14.208300472937468
2024-12-30,6413,13.952007500389835
2024-12-31,3116,12.28919112644416
2025-01-01,3562,15.000965908665544
2025-01-02,4749,11.630911897241523
2025-01-03,4200,10.44106171825397
2025-01-04,3198,12.765127152386908
2025-01-05,2933,9.904681156949653
2025-01-06,4080,9.352213692810457
2025-01-07,5319,9.581289546907312
2025-01-08,5661,9.485381987870223
2025-01-09,5833,10.510267260986343
2025-01-10,2720,11.39498756740196
2025-01-11,3830,10.94578040905135
2025-01-12,2562,11.174062028363258
2025-01-13,4531,9.446030846759362
2025-01-14,4060,9.804846079638752
2025-01-15,4654,10.620860446211143
2025-01-16,6329,9.704539508611155
2025-01-17,6688,10.750049130283095
2025-01-18,4603,11.603508632051561
2025-01-19,2228,10.56563987881508
2025-01-20,1648,10.729371703074433
2025-01-21,1309,20.383941303794245
